"headlines.headline","sentiment","anger","fear","joy","sadness","gptsentiment","gptanger","gptjoy","gptsadness","gptfear"
"It's Dirty, It's Rich, And You Can Totally Make It Yourself — Here's How",4.5,1.75,1.375,3.5,1.375,6,1,6,1,1
"His Fake Phone Call Is Exactly What Happens When You Call The Cable Company, But Do You Know Why?",3.4,2.625,1.625,1.25,2.25,5,1,4,1,1
"If $23 Dollars An Hour Sounds Like A Lotta Dough, Check This Out",5.5,1.375,1.375,3.625,1.25,6,1,5,1,1
"McDonalds' CEO Would Love To Buy This Girl A Happy Meal. She Gives Them Food For Thought Instead.",5.1,1.625,1.25,2.625,1.125,6,1,6,1,1
"A political party in the U.K. just did the absolute dumbest thing to try and appeal to women.",2.2,5,2.125,1.25,2.5,2,6,3,2,5
"Why Are People So Good When Being Selfish Is So Much Fun? Science Has The Answer.",4.3,2,1.5,2.375,1.5,4,2,6,1,2
"What Is Up With This 'Right-To-Work' Stuff, Anyway?",3.2,3.25,1.25,1.375,1.75,3,3,3,1,1
"Watch A Nice Man Calmly And Gently Tell You To Go F*ck Yourself For Very Understandable Reasons",2.7,4.25,2.25,1.25,1.875,2,6,2,0,4
"6 Shocking, 3 Interesting, And 2 Bizarre Facts About McDonald's",4.4,2,1.5,1.75,1.25,4,1,4,1,2
"She Might Not Have MC Skat Kat With Her, But This Is A Video You Should Watch",3.8,1.5,1.375,3.125,1.25,6,1,5,1,1
"This Guy Just Served Up A Slice Of $#!% Pie To 9 People Involved In The Ray Rice Assault",2.6,3.875,2,2.25,2.125,1,6,2,6,6
"Major U.S. Brands Are Leaving Our Shores To Exploit A Tax Loophole, And They're Profiting For It",2.9,3.5,2.375,1.375,2.875,4,4,2,2,2
"Everything You Know About Sugar Is About To Be Blown Away",4.8,1.625,2.375,2.125,1.75,5,1,6,1,3
"Coming Out Can Be Hard, But It's Less Hard When Your Mom Responds Like This Kid's Did",4.4,2.125,2,3.75,2.625,6,1,6,2,1
"How These People Overthrew A Murderous Dictator With A Phone, A Camera, And A News Feed.",4.6,2.25,3,3.125,2.5,7,1,6,1,1
"One Of The Biggest Roadblocks To American Innovation Might Surprise You",4.5,2.25,1.5,2.5,1.75,4,1,4,1,2
"A Mom Waited Until The Perfect Moment To Talk With Her Son About Her Sexuality",5.2,1.625,2,3.125,1.625,6,1,5,1,1
"What Age Is Too Young To Try Children As Adults In America? 14 States Have No Minimum Age.",3.3,3,1.625,1.5,2.5,2,2,2,3,5
"3 Of America's Funniest Comedians Get Animated. What They Say? It's *Bold.*",4.3,2.125,1.5,3.125,1.875,6,1,6,1,1
"Ahhhh! Can Corporations REALLY Patent Human Genes!?",3.9,3.125,4,1.875,2.25,2,6,5,1,6
"Scary facts about the water crisis in the U.S., China, India, and Spain.",2.2,2.875,5.375,1.5,4.125,2,1,1,2,6
"The Funnest Imaginable Way To Remind Your Mom To Get A Mammogram Is A Paula Abdul Dance Jam",4.8,1.25,1.25,3.625,1.5,6,1,6,1,1
"John Oliver made a fake campaign ad that 1 giant political party could really learn from.",4.1,2.375,1.625,2.125,1.25,6,1,6,1,1
"A Bunch Of Celebrities Made This Adorable (And Serious?) Video That Everyone's Talking About",4.5,1.625,1.375,3.375,1.75,6,1,6,1,1
"A Teen Came Out To His Mom But She Had A Surprise Of Her Own To Share",5.3,1.75,2.125,3.75,2,6,1,6,2,1
"It Used To Be That If You Didn't Pay Your Dues, You Were Considered A Bum",2.7,2.75,2.375,1.375,2.5,2,4,2,2,2
"Meet The Girl Who's Left To Deal With Decades Of Built-Up Hostility And Prejudice",3.6,3.625,2.125,1.125,3.375,2,3,2,6,4
"The Big Problem Some Super Popular People Are Struggling To Deal With",3.7,1.75,1.75,2,1.875,3,1,3,2,2
"I Was Shocked When I Saw This Sentence And Sad When I Comprehended It",3.6,1.75,1.625,1.75,3.75,2,2,2,6,4
"Watch A 9-Year-Old Make Ronald McDonald Look Even More Like A Clown.",3.8,2.625,2.25,2.625,1.375,4,2,6,1,1
"If You’ve Ever Dealt With Your Cable Company, Everything About This NSFW PSA Will Ring True",3.9,2.625,2.25,2,1.875,4,2,4,2,2
